id,Date,Open,High,Low,Close,AdjClose,Volume,name
170,2019-03-26,3969.22876,3985.080811,3944.753174,3985.080811,3985.080811,10707678815,bitcoin
171,2019-03-27,3984.244873,4087.066162,3977.810547,4087.066162,4087.066162,10897131934,bitcoin
172,2019-03-28,4087.584473,4094.9021,4040.266357,4069.107178,4069.107178,9353915899,bitcoin
173,2019-03-29,4068.299805,4113.500977,4034.097168,4098.374512,4098.374512,10918665557,bitcoin
174,2019-03-30,4092.13623,4296.806641,4053.909668,4106.660156,4106.660156,9732688060,bitcoin
175,2019-03-31,4105.456055,4113.023438,4094.10083,4105.404297,4105.404297,9045122443,bitcoin
176,2019-04-01,4105.362305,4164.953125,4096.901367,4158.183105,4158.183105,10157794171,bitcoin
177,2019-04-02,4156.919434,4905.95459,4155.316895,4879.87793,4879.87793,21315047816,bitcoin
178,2019-04-03,4879.958008,5307.003418,4876.621094,4973.021973,4973.021973,22899891582,bitcoin
179,2019-04-04,4971.307617,5063.159668,4836.793945,4922.798828,4922.798828,18251810240,bitcoin
180,2019-04-05,4922.806152,5053.509766,4919.491699,5036.681152,5036.681152,16837325387,bitcoin
181,2019-04-06,5036.792969,5205.821777,4992.222168,5059.817383,5059.817383,16929795194,bitcoin
182,2019-04-07,5062.793945,5235.186523,5050.412109,5198.896973,5198.896973,16655416140,bitcoin
183,2019-04-08,5199.835449,5318.836426,5148.211914,5289.770996,5289.770996,17154113634,bitcoin
184,2019-04-09,5289.917969,5289.917969,5167.418945,5204.958496,5204.958496,14722104361,bitcoin
185,2019-04-10,5204.105469,5421.651367,5193.382324,5324.551758,5324.551758,15504590933,bitcoin
186,2019-04-11,5325.081543,5354.225586,5017.296387,5064.487793,5064.487793,16555616019,bitcoin
187,2019-04-12,5061.200684,5103.274414,4955.852539,5089.539063,5089.539063,13675206312,bitcoin
188,2019-04-13,5088.850098,5127.12207,5061.589355,5096.586426,5096.586426,10823289598,bitcoin
189,2019-04-14,5095.758789,5184.016113,5053.568359,5167.722168,5167.722168,10391952498,bitcoin
190,2019-04-15,5167.321777,5196.606934,5024.069336,5067.108398,5067.108398,12290155061,bitcoin
191,2019-04-16,5066.577637,5238.945313,5055.194824,5235.55957,5235.55957,11618660197,bitcoin
192,2019-04-17,5236.135254,5274.275391,5219.205566,5251.937988,5251.937988,12438480677,bitcoin
193,2019-04-18,5251.480469,5319.986328,5250.506836,5298.385742,5298.385742,13256489918,bitcoin
194,2019-04-19,5298.154297,5336.680176,5233.334961,5303.8125,5303.8125,13780238655,bitcoin
195,2019-04-20,5304.160645,5358.490723,5295.87793,5337.88623,5337.88623,13169647522,bitcoin
196,2019-04-21,5335.878906,5359.924805,5257.339355,5314.53125,5314.53125,13731844223,bitcoin
197,2019-04-22,5312.494629,5422.6875,5280.276855,5399.365234,5399.365234,14601631648,bitcoin
198,2019-04-23,5399.365723,5633.802246,5389.408691,5572.362305,5572.362305,15867308108,bitcoin
199,2019-04-24,5571.508301,5642.044434,5418.263184,5464.866699,5464.866699,17048033399,bitcoin
200,2019-04-25,5466.524414,5542.238281,5181.338867,5210.515625,5210.515625,15330283408,bitcoin
201,2019-04-26,5210.304688,5383.634277,5177.368652,5279.348145,5279.348145,16812108040,bitcoin
202,2019-04-27,5279.471191,5310.75,5233.635742,5268.291016,5268.291016,13111274675,bitcoin
203,2019-04-28,5271.746582,5326.231934,5255.683594,5285.13916,5285.13916,12819992056,bitcoin
204,2019-04-29,5284.858398,5311.274902,5216.487793,5247.352539,5247.352539,13735490672,bitcoin
205,2019-04-30,5247.726074,5363.257324,5224.189941,5350.726563,5350.726563,13878964574,bitcoin
206,2019-05-01,5350.914551,5418.003906,5347.645996,5402.697266,5402.697266,13679528236,bitcoin
207,2019-05-02,5402.422852,5522.262695,5394.217285,5505.283691,5505.283691,14644460907,bitcoin
208,2019-05-03,5505.552246,5865.881836,5490.20166,5768.289551,5768.289551,18720780006,bitcoin
209,2019-05-04,5769.202637,5886.893555,5645.469238,5831.16748,5831.16748,17567780766,bitcoin
210,2019-05-05,5831.068359,5833.862793,5708.035156,5795.708496,5795.708496,14808830723,bitcoin
211,2019-05-06,5791.693359,5802.95752,5653.6875,5746.807129,5746.807129,15737171804,bitcoin
212,2019-05-07,5745.599121,5988.178223,5741.395996,5829.501465,5829.501465,18026409033,bitcoin
213,2019-05-08,5849.481445,5989.980957,5794.71582,5982.45752,5982.45752,15320605300,bitcoin
214,2019-05-09,5982.316406,6183.039063,5982.316406,6174.528809,6174.528809,16784645411,bitcoin
215,2019-05-10,6175.822754,6434.617676,6161.519043,6378.849121,6378.849121,19419875368,bitcoin
216,2019-05-11,6379.666992,7333.00293,6375.69873,7204.771484,7204.771484,28867562329,bitcoin
217,2019-05-12,7203.507324,7503.87207,6815.770996,6972.371582,6972.371582,27773333680,bitcoin
218,2019-05-13,6971.178223,8047.413086,6898.282227,7814.915039,7814.915039,28677672181,bitcoin
219,2019-05-14,7807.884277,8268.712891,7696.391113,7994.416016,7994.416016,32031452227,bitcoin
220,2019-05-15,7989.374512,8216.423828,7899.106934,8205.167969,8205.167969,28344112920,bitcoin
221,2019-05-16,8194.500977,8320.824219,7729.608398,7884.90918,7884.90918,33167197581,bitcoin
222,2019-05-17,7886.925781,7929.145508,7038.124512,7343.895508,7343.895508,30066644905,bitcoin
223,2019-05-18,7341.664551,7447.271973,7251.504395,7271.208008,7271.208008,21354286562,bitcoin
224,2019-05-19,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422040,bitcoin
225,2019-05-20,8196.923828,8200.967773,7678.781738,7978.309082,7978.309082,23843404340,bitcoin
226,2019-05-21,7977.969238,8062.167969,7843.339844,7963.327637,7963.327637,25127245056,bitcoin
227,2019-05-22,7956.291992,7997.612305,7615.987305,7680.066406,7680.066406,24719473175,bitcoin
228,2019-05-23,7677.269043,7943.791504,7533.196777,7881.84668,7881.84668,24457107820,bitcoin
229,2019-05-24,7881.695313,8140.719727,7824.44873,7987.371582,7987.371582,25919126991,bitcoin
230,2019-05-25,7991.885254,8117.925781,7965.976074,8052.543945,8052.543945,22256813107,bitcoin
231,2019-05-26,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091,bitcoin
232,2019-05-27,8674.072266,8907.174805,8668.705078,8805.77832,8805.77832,27949839564,bitcoin
233,2019-05-28,8802.757813,8807.016602,8634.72168,8719.961914,8719.961914,24226919267,bitcoin
234,2019-05-29,8718.591797,8755.852539,8482.728516,8659.487305,8659.487305,23473479966,bitcoin
235,2019-05-30,8661.760742,9008.314453,8221.273438,8319.472656,8319.472656,29246528551,bitcoin
236,2019-05-31,8320.286133,8586.65918,8172.550781,8574.501953,8574.501953,25365190957,bitcoin
237,2019-06-01,8573.839844,8625.600586,8481.578125,8564.016602,8564.016602,22488303544,bitcoin
238,2019-06-02,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022,bitcoin
239,2019-06-03,8741.74707,8743.5,8204.185547,8208.995117,8208.995117,22004511436,bitcoin
240,2019-06-04,8210.985352,8210.985352,7564.48877,7707.770996,7707.770996,24609731549,bitcoin
241,2019-06-05,7704.343262,7901.849121,7668.668457,7824.231445,7824.231445,21760923463,bitcoin
242,2019-06-06,7819.633301,7937.34082,7571.471191,7822.023438,7822.023438,19474611077,bitcoin
243,2019-06-07,7826.901367,8126.15332,7788.373535,8043.951172,8043.951172,19141423231,bitcoin
244,2019-06-08,8036.774902,8076.891113,7837.61084,7954.12793,7954.12793,16522722810,bitcoin
245,2019-06-09,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547,bitcoin
246,2019-06-10,7692.284668,8031.909668,7586.730957,8000.32959,8000.32959,18689275117,bitcoin
247,2019-06-11,8004.243652,8026.394043,7772.803711,7927.714355,7927.714355,17107279932,bitcoin
248,2019-06-12,7925.434082,8196.648438,7862.359863,8145.857422,8145.857422,19034432883,bitcoin
249,2019-06-13,8145.54541,8311.567383,8087.061035,8230.923828,8230.923828,18669407147,bitcoin
250,2019-06-14,8230.898438,8710.636719,8183.393066,8693.833008,8693.833008,19831162906,bitcoin
251,2019-06-15,8689.746094,8859.12793,8618.395508,8838.375,8838.375,18371033226,bitcoin
252,2019-06-16,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550311,bitcoin
253,2019-06-17,8988.923828,9416.407227,8988.923828,9320.352539,9320.352539,15562951919,bitcoin
254,2019-06-18,9335.466797,9348.374023,9004.901367,9081.762695,9081.762695,15848210536,bitcoin
255,2019-06-19,9078.727539,9299.621094,9070.395508,9273.521484,9273.521484,15546809946,bitcoin
256,2019-06-20,9273.060547,9594.419922,9232.484375,9527.160156,9527.160156,17846823784,bitcoin
257,2019-06-21,9525.074219,10144.55664,9525.074219,10144.55664,10144.55664,20624008643,bitcoin
258,2019-06-22,10175.92383,11157.3457,10107.03516,10701.69141,10701.69141,29995204861,bitcoin
259,2019-06-23,10696.69141,11246.14453,10556.0957,10855.37109,10855.37109,20998326502,bitcoin
260,2019-06-24,10853.74414,11065.89648,10610.42773,11011.10254,11011.10254,19271652365,bitcoin
261,2019-06-25,11007.20215,11790.91699,11007.20215,11790.91699,11790.91699,24879684533,bitcoin
262,2019-06-26,11778.58106,13796.48926,11755.59766,13016.23145,13016.23145,45105733173,bitcoin
263,2019-06-27,13017.125,13311.14453,10491.85254,11182.80664,11182.80664,39977475223,bitcoin
264,2019-06-28,11162.16797,12445.17481,10914.49512,12407.33203,12407.33203,35087757766,bitcoin
265,2019-06-29,12400.76367,12400.91016,11508.37891,11959.37109,11959.37109,29923961128,bitcoin
266,2019-06-30,11931.99121,12178.38379,10799.00879,10817.15527,10817.15527,27256473494,bitcoin
267,2019-07-01,10796.93066,11206.43945,10089.31445,10583.13477,10583.13477,29378589324,bitcoin
268,2019-07-02,10588.68359,10912.18848,9737.884766,10801.67773,10801.67773,31015895223,bitcoin
269,2019-07-03,10818.15625,11968.07813,10818.15625,11961.26953,11961.26953,30796494294,bitcoin
270,2019-07-04,11972.71875,12006.0752,11166.56934,11215.4375,11215.4375,25920294033,bitcoin
271,2019-07-05,11203.10254,11395.66113,10874.96484,10978.45996,10978.45996,23838480210,bitcoin
272,2019-07-06,10982.54395,11620.96484,10982.54395,11208.55078,11208.55078,21092024306,bitcoin
273,2019-07-07,11217.61621,11541.62012,11148.80469,11450.84668,11450.84668,19369044277,bitcoin
274,2019-07-08,11446.59668,12345.83301,11393.37402,12285.95801,12285.95801,23482551458,bitcoin
275,2019-07-09,12284.32617,12779.13184,12233.26172,12573.8125,12573.8125,28167921523,bitcoin
276,2019-07-10,12571.53711,13129.5293,11710.97852,12156.5127,12156.5127,33627574244,bitcoin
277,2019-07-11,12139.71387,12144.62305,11158.92285,11358.66211,11358.66211,28595327690,bitcoin
278,2019-07-12,11354.29981,11905.48731,11179.14453,11815.98633,11815.98633,23534692797,bitcoin
279,2019-07-13,11813.12695,11841.95703,10908.47949,11392.37891,11392.37891,21042616384,bitcoin
280,2019-07-14,11381.02051,11451.2041,10234.57617,10256.05859,10256.05859,22486000001,bitcoin
281,2019-07-15,10257.83887,11052.7666,9992.006836,10895.08984,10895.08984,25384047207,bitcoin
282,2019-07-16,10896.65332,10996.63281,9448.106445,9477.641602,9477.641602,24151199070,bitcoin
283,2019-07-17,9471.213867,9963.134766,9163.134766,9693.802734,9693.802734,24569921549,bitcoin
284,2019-07-18,9698.50293,10736.84277,9376.798828,10666.48242,10666.48242,25187024648,bitcoin
285,2019-07-19,10653.95606,10716.98047,10229.62891,10530.73242,10530.73242,20727426310,bitcoin
286,2019-07-20,10525.81934,11048.66211,10451.27637,10767.13965,10767.13965,20206615155,bitcoin
287,2019-07-21,10777.5293,10841.8877,10389.59961,10599.10547,10599.10547,17130580467,bitcoin
288,2019-07-22,10596.94824,10651.79102,10154.92188,10343.10645,10343.10645,16334414913,bitcoin
289,2019-07-23,10346.74805,10346.74805,9883.594727,9900.767578,9900.767578,17851916995,bitcoin
290,2019-07-24,9887.730469,9908.796875,9614.306641,9811.925781,9811.925781,17398734322,bitcoin
291,2019-07-25,9809.09668,10154.25391,9773.957031,9911.841797,9911.841797,15821952090,bitcoin
292,2019-07-26,9913.126953,9916.517578,9717.982422,9870.303711,9870.303711,14495714483,bitcoin
293,2019-07-27,9871.165039,10167.32031,9411.521484,9477.677734,9477.677734,16817809536,bitcoin
294,2019-07-28,9491.626953,9575.544922,9252.296875,9552.860352,9552.860352,13738687093,bitcoin
295,2019-07-29,9548.178711,9681.648438,9472.948242,9519.145508,9519.145508,13791445323,bitcoin
296,2019-07-30,9522.329102,9701.759766,9437.335938,9607.423828,9607.423828,13829811132,bitcoin
297,2019-07-31,9604.050781,10085.62793,9598.097656,10085.62793,10085.62793,16631520648,bitcoin
298,2019-08-01,10077.44238,10446.91992,9922.019531,10399.66895,10399.66895,17165337858,bitcoin
299,2019-08-02,10402.04297,10657.95313,10371.01367,10518.17481,10518.17481,17489094082,bitcoin
300,2019-08-03,10519.27832,10946.78125,10503.50488,10821.72656,10821.72656,15352685061,bitcoin
301,2019-08-04,10821.63281,11009.20703,10620.27832,10970.18457,10970.18457,16530894787,bitcoin
302,2019-08-05,10960.73535,11895.0918,10960.73535,11805.65332,11805.65332,23875988832,bitcoin
303,2019-08-06,11811.54492,12273.82129,11290.73145,11478.16895,11478.16895,23635107660,bitcoin
304,2019-08-07,11476.19336,12036.99023,11433.70117,11941.96875,11941.96875,22194988641,bitcoin
305,2019-08-08,11954.04004,11979.41992,11556.16797,11966.40723,11966.40723,19481591730,bitcoin
306,2019-08-09,11953.46973,11970.45801,11709.74512,11862.93652,11862.93652,18339989960,bitcoin
307,2019-08-10,11861.55664,11915.65527,11323.89844,11354.02441,11354.02441,18125355447,bitcoin
308,2019-08-11,11349.74023,11523.5791,11248.29492,11523.5791,11523.5791,15774371518,bitcoin
309,2019-08-12,11528.18945,11528.18945,11320.95117,11382.61621,11382.61621,13647198229,bitcoin
310,2019-08-13,11385.05273,11420.04981,10830.32715,10895.83008,10895.83008,16681503537,bitcoin
311,2019-08-14,10889.48731,10889.55664,10028.13574,10051.7041,10051.7041,19990838300,bitcoin
312,2019-08-15,10038.42188,10437.41113,9675.316406,10311.5459,10311.5459,22899115082,bitcoin
313,2019-08-16,10319.41992,10524.34961,9855.478516,10374.33887,10374.33887,20228207096,bitcoin
314,2019-08-17,10358.72266,10452.625,10086.69824,10231.74414,10231.74414,13778035685,bitcoin
315,2019-08-18,10233.00586,10487.07031,10119.09473,10345.81055,10345.81055,12999813869,bitcoin
316,2019-08-19,10350.2832,10916.05371,10313.2041,10916.05371,10916.05371,16038264603,bitcoin
317,2019-08-20,10916.34668,10947.04199,10618.96094,10763.23242,10763.23242,15053082175,bitcoin
318,2019-08-21,10764.57227,10798.72949,9962.72168,10138.04981,10138.04981,19473084768,bitcoin
319,2019-08-22,10142.52148,10232.99609,9831.462891,10131.05566,10131.05566,17097508856,bitcoin
320,2019-08-23,10136.30957,10442.44336,10078.19238,10407.96484,10407.96484,15627023886,bitcoin
321,2019-08-24,10407.64453,10418.02051,9982.296875,10159.96094,10159.96094,15451030650,bitcoin
322,2019-08-25,10160.73731,10304.62207,10008.78906,10138.51758,10138.51758,14153856610,bitcoin
323,2019-08-26,10126.29981,10512.32813,10126.29981,10370.82031,10370.82031,18438654080,bitcoin
324,2019-08-27,10372.82617,10381.32813,10087.30078,10185.5,10185.5,14762609503,bitcoin
325,2019-08-28,10203.42676,10279.36621,9716.65625,9754.422852,9754.422852,17603790323,bitcoin
326,2019-08-29,9756.786133,9756.786133,9421.629883,9510.200195,9510.200195,17045878501,bitcoin
327,2019-08-30,9514.844727,9656.124023,9428.302734,9598.173828,9598.173828,13595263986,bitcoin
328,2019-08-31,9597.539063,9673.220703,9531.799805,9630.664063,9630.664063,11454806419,bitcoin
329,2019-09-01,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,bitcoin
330,2019-09-02,9757.473633,10396.5918,9730.650391,10346.76074,10346.76074,17248102294,bitcoin
331,2019-09-03,10345.72559,10736.10449,10308.54785,10623.54004,10623.54004,19384917989,bitcoin
332,2019-09-04,10621.18066,10762.64453,10434.70996,10594.49316,10594.49316,16742664769,bitcoin
333,2019-09-05,10588.18359,10627.26953,10516.41797,10575.5332,10575.5332,14551239508,bitcoin
334,2019-09-06,10578.19824,10898.76172,10292.29981,10353.30273,10353.30273,19536574783,bitcoin
335,2019-09-07,10353.93164,10558.67383,10348.91895,10517.25488,10517.25488,15307366476,bitcoin
336,2019-09-08,10518.11426,10595.6377,10409.09082,10441.27637,10441.27637,13670567493,bitcoin
337,2019-09-09,10443.22852,10450.31152,10144.92969,10334.97461,10334.97461,17595943368,bitcoin
338,2019-09-10,10336.4082,10394.35352,10020.57324,10115.97559,10115.97559,14906809639,bitcoin
339,2019-09-11,10123.03516,10215.94824,9980.776367,10178.37207,10178.37207,15428063426,bitcoin
340,2019-09-12,10176.81934,10442.25391,10099.24219,10410.12695,10410.12695,15323563925,bitcoin
341,2019-09-13,10415.36231,10441.48926,10226.59668,10360.54688,10360.54688,14109864675,bitcoin
342,2019-09-14,10345.40332,10422.13379,10291.69434,10358.04883,10358.04883,13468713124,bitcoin
343,2019-09-15,10356.46582,10387.03516,10313.09277,10347.71289,10347.71289,12043433567,bitcoin
344,2019-09-16,10347.22266,10386.86719,10189.74414,10276.79395,10276.79395,15160167779,bitcoin
345,2019-09-17,10281.51367,10296.77148,10199.73926,10241.27246,10241.27246,15304603363,bitcoin
346,2019-09-18,10247.7959,10275.92871,10191.46973,10198.24805,10198.24805,16169268880,bitcoin
347,2019-09-19,10200.49609,10295.66895,9851.692383,10266.41504,10266.41504,19937691247,bitcoin
348,2019-09-20,10266.31836,10285.87207,10132.18652,10181.6416,10181.6416,14734189639,bitcoin
349,2019-09-21,10183.64844,10188.09766,10000.70801,10019.7168,10019.7168,13425266806,bitcoin
350,2019-09-22,10024.11523,10074.44434,9922.533203,10070.39258,10070.39258,13199651698,bitcoin
351,2019-09-23,10067.96289,10074.23828,9727.143555,9729.324219,9729.324219,15144925408,bitcoin
352,2019-09-24,9729.321289,9804.317383,8370.801758,8620.566406,8620.566406,25002886689,bitcoin
353,2019-09-25,8603.428711,8744.828125,8325.396484,8486.993164,8486.993164,21744728353,bitcoin
354,2019-09-26,8487.669922,8515.685547,7895.629395,8118.967773,8118.967773,19258205289,bitcoin
355,2019-09-27,8113.101074,8271.520508,7965.922852,8251.845703,8251.845703,16408941156,bitcoin
356,2019-09-28,8251.273438,8285.617188,8125.431641,8245.915039,8245.915039,14141152736,bitcoin
357,2019-09-29,8246.037109,8261.707031,7990.49707,8104.185547,8104.185547,13034629109,bitcoin
358,2019-09-30,8104.226563,8314.231445,7830.758789,8293.868164,8293.868164,17115474183,bitcoin
359,2019-10-01,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,bitcoin
360,2019-10-02,8344.212891,8393.041992,8227.695313,8393.041992,8393.041992,13125712443,bitcoin
361,2019-10-03,8390.774414,8414.227539,8146.437012,8259.992188,8259.992188,13668823409,bitcoin
362,2019-10-04,8259.494141,8260.055664,8151.236816,8205.939453,8205.939453,13139456229,bitcoin
363,2019-10-05,8210.149414,8215.526367,8071.120605,8151.500488,8151.500488,12200497197,bitcoin
364,2019-10-06,8149.876953,8161.410156,7958.850586,7988.155762,7988.155762,13160830305,bitcoin
365,2019-10-07,7989.120605,8308.450195,7905.766113,8245.623047,8245.623047,18009742607,bitcoin
366,2019-10-08,8246.849609,8332.714844,8185.763184,8228.783203,8228.783203,15592264032,bitcoin
367,2019-10-09,8229.84082,8627.706055,8169.298828,8595.740234,8595.740234,19384942333,bitcoin
368,2019-10-10,8585.280273,8625.272461,8471.933594,8586.473633,8586.473633,17618660671,bitcoin
369,2019-10-11,8585.262695,8721.780273,8316.181641,8321.756836,8321.756836,19604381101,bitcoin
370,2019-10-12,8315.665039,8415.242188,8313.34082,8336.555664,8336.555664,14532641605,bitcoin
371,2019-10-13,8336.902344,8470.988281,8276.612305,8321.005859,8321.005859,13808286059,bitcoin
372,2019-10-14,8320.832031,8390.208984,8284.130859,8374.686523,8374.686523,15151387859,bitcoin
373,2019-10-15,8373.458008,8410.714844,8182.706543,8205.369141,8205.369141,15220412632,bitcoin
374,2019-10-16,8204.674805,8216.8125,7985.089844,8047.526855,8047.526855,16071646996,bitcoin
375,2019-10-17,8047.8125,8134.831543,8000.942871,8103.911133,8103.911133,14313052244,bitcoin
376,2019-10-18,8100.933594,8138.413574,7902.164063,7973.20752,7973.20752,15651592610,bitcoin
377,2019-10-19,7973.803711,8082.629395,7944.776855,7988.560547,7988.560547,13797825640,bitcoin
378,2019-10-20,7997.807129,8281.818359,7949.439453,8222.078125,8222.078125,15504249442,bitcoin
379,2019-10-21,8225.115234,8296.694336,8196.416016,8243.720703,8243.720703,15868748866,bitcoin
380,2019-10-22,8243.402344,8296.651367,8074.462891,8078.203125,8078.203125,16803377857,bitcoin
381,2019-10-23,8076.228516,8092.999512,7469.322754,7514.671875,7514.671875,21942878958,bitcoin
382,2019-10-24,7509.728027,7532.867676,7446.98877,7493.48877,7493.48877,16268708849,bitcoin
383,2019-10-25,7490.703125,8691.540039,7479.984375,8660.700195,8660.700195,28705065488,bitcoin
384,2019-10-26,8667.577148,10021.74414,8662.62207,9244.972656,9244.972656,44496255609,bitcoin
385,2019-10-27,9241.707031,9749.529297,9112.541992,9551.714844,9551.714844,32593129501,bitcoin
386,2019-10-28,9565.101563,9805.118164,9256.148438,9256.148438,9256.148438,30948255332,bitcoin
387,2019-10-29,9248.44043,9516.180664,9232.648438,9427.6875,9427.6875,28426779937,bitcoin
388,2019-10-30,9422.462891,9426.874023,9085.370117,9205.726563,9205.726563,27706531577,bitcoin
389,2019-10-31,9202.458008,9383.161133,9028.717773,9199.584961,9199.584961,26583653947,bitcoin
390,2019-11-01,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,bitcoin
391,2019-11-02,9259.783203,9377.486328,9249.587891,9324.717773,9324.717773,21242676385,bitcoin
392,2019-11-03,9324.787109,9379.806641,9141.251953,9235.354492,9235.354492,21132220847,bitcoin
393,2019-11-04,9235.607422,9505.051758,9191.485352,9412.612305,9412.612305,26170255634,bitcoin
394,2019-11-05,9413.004883,9457.417969,9256.931641,9342.527344,9342.527344,26198609048,bitcoin
395,2019-11-06,9340.864258,9423.237305,9305.90918,9360.879883,9360.879883,23133895765,bitcoin
396,2019-11-07,9352.393555,9368.476563,9202.353516,9267.561523,9267.561523,22700383839,bitcoin
397,2019-11-08,9265.368164,9272.759766,8775.53418,8804.880859,8804.880859,24333037836,bitcoin
398,2019-11-09,8809.46875,8891.818359,8793.163086,8813.582031,8813.582031,17578630606,bitcoin
399,2019-11-10,8812.489258,9103.826172,8806.162109,9055.526367,9055.526367,20587919881,bitcoin
400,2019-11-11,9056.917969,9081.279297,8700.608398,8757.788086,8757.788086,20265510765,bitcoin
401,2019-11-12,8759.751953,8853.768555,8685.427734,8815.662109,8815.662109,20309769107,bitcoin
402,2019-11-13,8812.033203,8836.841797,8761.651367,8808.262695,8808.262695,17545755405,bitcoin
403,2019-11-14,8811.936523,8826.943359,8692.551758,8708.094727,8708.094727,19084739975,bitcoin
404,2019-11-15,8705.708008,8730.873047,8484.84375,8491.992188,8491.992188,21796856471,bitcoin
405,2019-11-16,8491.166016,8591.99707,8473.973633,8550.760742,8550.760742,16495389808,bitcoin
406,2019-11-17,8549.470703,8727.789063,8500.967773,8577.975586,8577.975586,18668638897,bitcoin
407,2019-11-18,8573.980469,8653.280273,8273.573242,8309.286133,8309.286133,21579470673,bitcoin
408,2019-11-19,8305.134766,8408.516602,8099.963379,8206.145508,8206.145508,21083613816,bitcoin
