id,Security_Code,Security_Id,Security_Name
210,512175,VAMA,VAMA INDUSTRIES
211,530459,VALSONQ,VALSON INDUSTRIES
212,539543,VALLEY,Valley Magnesite Company 
213,513397,VALLABHSQ,VALLABH STEELS
214,540145,VALIANTORG,Valiant Organics 
215,526775,VALIANT,VALIANT COMMUNICATIONS
216,539402,VAL,Vaksons Automobiles 
217,511431,VAKRANGEE,Vakrangee 
218,532156,VAIBHAVGBL,Vaibhav Global 
219,531676,VAGHANI,VAGHANI TECHNOBUILD
220,519156,VADILALIND,VADILAL INDUSTRIES
221,519152,VADILENT,VADILAL ENTERPRISES
222,532320,VAARAD,Vaarad Ventures 
223,533269,WABAG,VA TECH WABAG
224,532867,V2RETAIL,V2 RETAIL
225,523888,VRWODAR,V R WOODART
226,542654,VRFILMS,V R Films Studios 
227,532729,UTTAMSUGAR,UTTAM SUGAR MILLS
228,513216,UTTAMSTL,UTTAM GALVA STEELS
229,500426,UTLINDS,UTL Industries 
230,500014,UTIQUE,Utique Enterprises 
231,542513,UTISXN50,UTI SP BSE Sensex Next 50 ETF
232,539312,UTISENSETF,UTI SENSEX ETF
233,540669,UTINEXT50,UTI Nifty Next 50 ETF
234,539313,UTINIFTETF,UTI NIFTY ETF
235,543226,UTIBANKETF,UTI Bank Exchange Traded Fund UTI Bank ETF
236,543238,UTIAMC,UTI Asset Management Company 
237,511736,USHDI,USHDEV INTERNATIONAL
238,511507,USHAKIRA,USHAKIRAN FINANCE
239,532398,UMESLTD,Usha Martin Education Solutions 
240,517146,USHAMART,USHA MARTIN
241,532402,USGTECH,USG TECH SOLUTIONS
242,526987,URJAGLOBA,URJA GLOBAL
243,531390,UPSURGE,UPSURGE INVESTMENT FINANCE
244,512070,UPL,UPL 
245,511764,UPASAFN,UPASANA FINANCE
246,531762,UNJHAFOR,UNJHA FORMULATIONS
247,512408,UNIWSEC,UNIWORTH SECURITIES
248,514144,UNIWORTH,UNIWORTH
249,542933,UNIVPHOTO,Universus Photo Imagings 
250,524408,UNIVSTAR,UNIVERSAL STARCHCHEM ALLIED
251,504673,UNIVPRIM,UNIVERSAL PRIME ALUMINIUM
252,523519,UNIOFFICE,UNIVERSAL OFFICE AUTOMATION
253,504212,UNIVCABLES,UNIVERSAL CABLES
